ciu; ulpwrrat;madein;flia;fcc;ic;etsi
DH124-004;120Vac, 60Hz, 1.5A;U.S.A;DH1;P3TDH1;8986A-DH1
DH124-005;24-58Vdc, 7-4A;U.S.A;DH1;P3TDH1;8986A-DH1
DH124-015;120Vac, 60Hz, 1.5A;U.S.A;DH1;P3TDH1;8986A-DH1
DH124-017;24-58Vdc, 7-4A;U.S.A;DH1;P3TDH1;8986A-DH1
DH124-028;120Vac, 60Hz, 1.5A;U.S.A;DH1;P3TDH1;8986A-DH1
DH124-029;24-58Vdc, 7-4A;U.S.A;DH1;P3TDH1;8986A-DH1
DH124-040;120Vac, 60Hz, 1.5A;U.S.A;DH1;P3TDH1;8986A-DH1
DH124-041;24-58Vdc, 7-4A;U.S.A;DH1;P3TDH1;8986A-DH1
DH124-307;120Vac, 60Hz, 1.5A;U.S.A;DH1;P3TDH1;8986A-DH1
DH124-308;24-58Vdc, 7-4A;U.S.A;DH1;P3TDH1;8986A-DH1
DH124-310;120Vac, 60Hz, 1.5A;U.S.A;DH1;P3TDH1;8986A-DH1
DH124-311;24-58Vdc, 7-4A;U.S.A;DH1;P3TDH1;8986A-DH1
DH124-313;120Vac, 60Hz, 1.5A;U.S.A;DH1;P3TDH1;8986A-DH1
DH124-314;24-58Vdc, 7-4A;U.S.A;DH1;P3TDH1;8986A-DH1
DH124-316;120Vac, 60Hz, 1.5A;U.S.A;DH1;P3TDH1;8986A-DH1
DH124-317;24-58Vdc, 7-4A;U.S.A;DH1;P3TDH1;8986A-DH1
DH124-319;120Vac, 60Hz, 1.5A;U.S.A;DH1;P3TDH1;8986A-DH1
DH124-320;24-58Vdc, 7-4A;U.S.A;DH1;P3TDH1;8986A-DH1
DH124-323;120Vac, 60Hz, 1.5A;U.S.A;DH1;P3TDH1;8986A-DH1
DH124-324;24-58Vdc, 7-4A;U.S.A;DH1;P3TDH1;8986A-DH1
DH124-325;120Vac, 60Hz, 1.5A;U.S.A;DH1;P3TDH1;8986A-DH1
DH124-326;24-58Vdc, 7-4A;U.S.A;DH1;P3TDH1;8986A-DH1
DH124-327;120Vac, 60Hz, 1.5A;U.S.A;DH1;P3TDH1;8986A-DH1
DH124-328;24-58Vdc, 7-4A;U.S.A;DH1;P3TDH1;8986A-DH1
DH124-330;;U.S.A;DH1;P3TDH1;8986A-DH1
DH424-325;120Vac, 60Hz, 1.5A;U.S.A;DH4;P3TDH4;8986A-DH4
DH424-326;24-58Vdc, 7-4A;U.S.A;DH4;P3TDH4;8986A-DH4
DH424-327;120Vac, 60Hz, 1.5A;U.S.A;DH4;P3TDH4;8986A-DH4
DH424-328;24-58Vdc, 7-4A;U.S.A;DH4;P3TDH4;8986A-DH4
